network,method,time,modularity,cunductance,accurary
100_0.4_0,normal louvain,0.031241894,0.244403316,0.590717161,0.921176471
100_0.4_0,split_louvain,0.046864033,0.21968247,0.410001798,0.475622969
100_0.4_0,split_louvain_remerge,0.062484026,0.224989255,0.564584045,0.683393689
100_0.4_0,split_girvan,1.171600819,0.246607605,0.494100324,0.826347305
100_0.4_0,split_girvan_remerge,1.374673843,0.239414061,0.578325641,0.765405405
100_0.4_0,split_newman,2.652098179,0.189248717,0.383188556,0.268518519
100_0.4_0,split_newman_remerge,3.403200626,0.142688479,0.193615892,0.169073406
***,***,***,***,***,***
100_0.5_0,normal louvain,0.031239271,0.190972675,0.332974608,0.117212249
100_0.5_0,split_louvain,0.046864271,0.194103406,0.359887669,0.140212547
100_0.5_0,split_louvain_remerge,0.046863317,0.18858626,0.35143012,0.146117166
100_0.5_0,split_girvan,0.203076839,0.196571351,0.363235162,0.144322845
100_0.5_0,split_girvan_remerge,0.171837568,0.193715902,0.318371966,0.10976479
100_0.5_0,split_newman,1.359051704,0.163386945,0.330129072,0.150949796
100_0.5_0,split_newman_remerge,1.718307972,0.171697194,0.374155544,0.160547397
***,***,***,***,***,***
100_0.6_0,normal louvain,0.031273127,0.193236375,0.334187706,0.114637613
100_0.6_0,split_louvain,0.03124404,0.185511462,0.328556364,0.122705314
100_0.6_0,split_louvain_remerge,0.046859026,0.191976644,0.358021143,0.131797235
100_0.6_0,split_girvan,0.124978065,0.19073205,0.390280585,0.134681583
100_0.6_0,split_girvan_remerge,0.359265089,0.199530709,0.400655212,0.138852387
100_0.6_0,split_newman,0.843538046,0.170657439,0.338282156,0.12923923
100_0.6_0,split_newman_remerge,1.140387058,0.190919118,0.358168471,0.130634775
***,***,***,***,***,***
1000_0.4_0,normal louvain,0.343686819,0.560140133,0.60008148,0.893558606
1000_0.4_0,split_louvain,0.734169722,0.561995227,0.599219511,0.974604089
1000_0.4_0,split_louvain_remerge,0.718547344,0.561995227,0.599219511,0.974604089
