method,random,remerge,relative,size,mu,modularity,conductance,jaccard
GN_modularity,FALSE,FALSE,FALSE,1000,0.4,0.562743281,0.600788933,0.958664855
GN_modularity,FALSE,FALSE,FALSE,1000,0.5,0.463343612,0.504674529,0.859495814
GN_modularity,FALSE,FALSE,FALSE,1000,0.6,0.362159769,0.413154397,0.593426147
GN_modularity,FALSE,FALSE,FALSE,10000,0.4,0.601553612,0.612475121,0.284309813
GN_modularity,FALSE,FALSE,FALSE,10000,0.5,0.503522126,0.516980717,0.234107456
GN_modularity,FALSE,FALSE,FALSE,10000,0.6,0.405884476,0.422959431,0.181897374
GN_modularity,FALSE,TRUE,FALSE,1000,0.4,0.465437238,0.138745078,0.657209197
GN_modularity,FALSE,TRUE,FALSE,1000,0.5,0.434739541,0.245477955,0.768994635
GN_modularity,FALSE,TRUE,FALSE,1000,0.6,0.342577282,0.226609477,0.582043664
GN_modularity,FALSE,TRUE,FALSE,10000,0.4,0.598483548,0.476883882,0.312809615
GN_modularity,FALSE,TRUE,FALSE,10000,0.5,0.501704241,0.414979125,0.251097791
GN_modularity,FALSE,TRUE,FALSE,10000,0.6,0.403803508,0.313477708,0.200113147
GN_modularity,TRUE,FALSE,FALSE,1000,0.4,0.562767394,0.600940354,0.95362595
GN_modularity,TRUE,FALSE,FALSE,1000,0.5,0.463392603,0.50453128,0.867152639
GN_modularity,TRUE,FALSE,FALSE,1000,0.6,0.361741294,0.413451347,0.585791826
GN_modularity,TRUE,FALSE,FALSE,10000,0.4,0.601675211,0.61229695,0.291146818
GN_modularity,TRUE,FALSE,FALSE,10000,0.5,0.503725619,0.517034126,0.236399563
GN_modularity,TRUE,FALSE,FALSE,10000,0.6,0.405845195,0.422636248,0.183994479
GN_modularity,TRUE,FALSE,TRUE,1000,0.4,0.562838781,0.600701808,0.965424637
GN_modularity,TRUE,FALSE,TRUE,1000,0.5,0.463323324,0.504368747,0.872914633
GN_modularity,TRUE,FALSE,TRUE,1000,0.6,0.362125648,0.411302488,0.613550964
GN_modularity,TRUE,FALSE,TRUE,10000,0.4,0.60203701,0.612436901,0.299238429
GN_modularity,TRUE,FALSE,TRUE,10000,0.5,0.504086502,0.516847393,0.246211727
GN_modularity,TRUE,FALSE,TRUE,10000,0.6,0.40607323,0.422092387,0.193411294
GN_modularity,TRUE,TRUE,FALSE,1000,0.4,0.481546025,0.193484349,0.717581331
GN_modularity,TRUE,TRUE,FALSE,1000,0.5,0.413855616,0.2269494,0.703090329
GN_modularity,TRUE,TRUE,FALSE,1000,0.6,0.34073941,0.215949115,0.590446789
GN_modularity,TRUE,TRUE,FALSE,10000,0.4,0.599556727,0.510842571,0.315027123
GN_modularity,TRUE,TRUE,FALSE,10000,0.5,0.501638288,0.420321451,0.249006256
GN_modularity,TRUE,TRUE,FALSE,10000,0.6,0.404344231,0.326374769,0.192675351
,,,,,,,,
,,,,,,,,
,Not Random,With Random,,,,,,
modularity,0.483201146,0.483191219,,,,,,
conductance,0.511838854,0.511815051,,,,,,
jaccard,0.518650243,0.519685212,,,,,,
,,,,,,,,
,,,,,,,,
,No Remerge,With Remerge,,,,,,
modularity,0.483201146,0.457790893,,,,,,
conductance,0.511838854,0.302695538,,,,,,
jaccard,0.518650243,0.462044675,,,,,,
,,,,,,,,
also RND,Not Relative,With Relative,,,,,,
modularity,0.483191219,0.483414082,,,,,,
conductance,0.511815051,0.511291621,,,,,,
jaccard,0.483191571,0.511748204,,,,,,
