method,random,remerge,relative,size,mu,modularity,conductance,jaccard
Louvain,False,False,False,1000,0.4,0.5628387807,0.6007018084,0.9654246372999999
Louvain,False,False,False,1000,0.5,0.4631080195,0.5046512924,0.8569271390000001
Louvain,False,False,False,1000,0.6,0.3605007227,0.4115246208,0.5754069314
Louvain,False,False,False,10000,0.4,0.60205405,0.6124460771,0.3023685965
Louvain,False,False,False,10000,0.5,0.5041705539,0.5167704327,0.2483631992
Louvain,False,False,False,10000,0.6,0.40641407,0.42276896519999996,0.1904640713
Louvain,False,True,False,1000,0.4,0.40961932580000004,0.4236639604,0.5995170842
Louvain,False,True,False,1000,0.5,0.46237573770000007,0.5053744396,0.8299285898000001
Louvain,False,True,False,1000,0.6,0.3602241707,0.41115177950000004,0.5807520079999999
Louvain,False,True,False,10000,0.4,0.6020405015,0.6123485075999999,0.305213077
Louvain,False,True,False,10000,0.5,0.5041691785,0.5167449259,0.2472550929
Louvain,False,True,False,10000,0.6,0.40636364140000003,0.4223173554,0.1931310323
Louvain,True,False,False,1000,0.4,0.5628387807,0.6007018084,0.9654246372999999
Louvain,True,False,False,1000,0.5,0.46317908,0.5041932789,0.8716766455
Louvain,True,False,False,1000,0.6,0.3595507298,0.4111544628,0.5615535143
Louvain,True,False,False,10000,0.4,0.6020299518,0.6124348452,0.3002358874
Louvain,True,False,False,10000,0.5,0.504154483,0.5167931613000001,0.25023321899999995
Louvain,True,False,False,10000,0.6,0.40626173760000006,0.4225523591,0.1901756585
Louvain,True,False,True,1000,0.4,0.5627212754,0.6009189444,0.9535870078
Louvain,True,False,True,1000,0.5,0.46325372619999994,0.5050178054,0.8556533515
Louvain,True,False,True,1000,0.6,0.35944750870000003,0.4099580246,0.5827851588999999
Louvain,True,False,True,10000,0.4,0.6020049172,0.6122364324999999,0.3045582101
Louvain,True,False,True,10000,0.5,0.5040552425,0.5165121878,0.2511699046
Louvain,True,False,True,10000,0.6,0.40612064800000003,0.4218726212,0.1953960546
Louvain,True,True,False,1000,0.4,0.4043331224,0.4216338577,0.5917996462999999
Louvain,True,True,False,1000,0.5,0.4629988953,0.5047070436000001,0.8510371124
Louvain,True,True,False,1000,0.6,0.3609987546,0.4110955635,0.5884022244
Louvain,True,True,False,10000,0.4,0.6020292808,0.6122989846,0.3016241584
Louvain,True,True,False,10000,0.5,0.5041362141000001,0.5167830714,0.24775357339999998
Louvain,True,True,False,10000,0.6,0.4064368251,0.42272495039999997,0.19234442359999998
