i,size,mu,method,time,modularity,conductance,jaccard
0,1000,0.4,GN_modularity,17.13630223274231,0.5619952270317068,0.5992195105568252,0.9746040886841347
1,1000,0.4,GN_modularity,17.16706609725952,0.5628005182067192,0.6017978997093869,0.941740770681757
2,1000,0.4,GN_modularity,15.483865737915039,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,GN_modularity,16.344959259033203,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,GN_modularity,15.122015237808228,0.5621092222102126,0.5988024312174332,1.0
5,1000,0.4,GN_modularity,19.29444694519043,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,GN_modularity,15.807143449783325,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,GN_modularity,14.876603841781616,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,GN_modularity,19.645529747009277,0.5605657083519446,0.6011372948994592,1.0
9,1000,0.4,GN_modularity,17.66774272918701,0.5620488768031379,0.5999479369250511,0.9741089441829186
0,1000,0.5,GN_modularity,13.51061463356018,0.4620521610378648,0.5028877498541485,0.9144996256551036
1,1000,0.5,GN_modularity,11.510950565338135,0.46611080051294634,0.5106808592543883,0.712067868504772
2,1000,0.5,GN_modularity,15.526763439178467,0.46166231816900033,0.505487761648862,0.8551275591993771
3,1000,0.5,GN_modularity,12.572935342788696,0.46252123703315123,0.502435058190183,0.9324049603577963
4,1000,0.5,GN_modularity,12.965859174728394,0.4642019356899919,0.5026059651604008,0.9464086341644957
5,1000,0.5,GN_modularity,11.096580743789673,0.46677237163345686,0.5025157390448769,0.9130781499202552
6,1000,0.5,GN_modularity,12.695510149002075,0.4623704016188679,0.5052780490444324,0.863859649122807
7,1000,0.5,GN_modularity,17.223986387252808,0.46309270873577596,0.5076800443866902,0.7926524993547277
8,1000,0.5,GN_modularity,14.444474935531616,0.46290119415489056,0.5051089291726294,0.8027527035481277
9,1000,0.5,GN_modularity,13.770051956176758,0.46154810790026346,0.4990073168379874,0.9962946817785527
0,1000,0.6,GN_modularity,12.779870986938477,0.36704909933637536,0.4184657074840924,0.5778376606824224
1,1000,0.6,GN_modularity,8.736209392547607,0.3675506626082729,0.4135230643147174,0.6432374427339139
2,1000,0.6,GN_modularity,16.056475400924683,0.35525074940842594,0.40372158945961323,0.6283677298311444
3,1000,0.6,GN_modularity,16.97017192840576,0.357692020498708,0.40778108362371146,0.60503251342946
4,1000,0.6,GN_modularity,9.484137535095215,0.36443200733913883,0.4079919679459282,0.7300821489112009
5,1000,0.6,GN_modularity,11.233834743499756,0.3652224542846221,0.41139295119467567,0.6224233874128067
6,1000,0.6,GN_modularity,10.07986831665039,0.35484829395745837,0.41049513099304624,0.46671187276538034
7,1000,0.6,GN_modularity,9.332902908325195,0.36124316489869296,0.4090646133196486,0.6252537555826229
8,1000,0.6,GN_modularity,10.782154321670532,0.364285606621514,0.4134926022735427,0.6344319329617298
9,1000,0.6,GN_modularity,28.196520566940308,0.3636824182337239,0.417096169545324,0.6021311976108867
