i,size,mu,method,time,modularity,conductance,jaccard
0,1000,0.4,Louvain,0.5299108028411865,0.5619952270317068,0.5992195105568252,0.9746040886841347
1,1000,0.4,Louvain,0.4688858985900879,0.5628005182067192,0.6017978997093869,0.941740770681757
2,1000,0.4,Louvain,0.519432544708252,0.5625762680088533,0.6029772785344438,0.8608678343949044
3,1000,0.4,Louvain,0.5059299468994141,0.5642354987645904,0.6001512602256189,0.9486683359890735
4,1000,0.4,Louvain,0.5160503387451172,0.5621092222102126,0.5988024312174332,1.0
5,1000,0.4,Louvain,0.6003861427307129,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,Louvain,0.4908933639526367,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,Louvain,0.511620044708252,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,Louvain,0.5213625431060791,0.5605657083519446,0.6011372948994592,1.0
9,1000,0.4,Louvain,0.6187732219696045,0.5620488768031379,0.5999479369250511,0.9741089441829186
0,1000,0.5,Louvain,0.6114175319671631,0.4620521610378648,0.5028877498541485,0.9144996256551036
1,1000,0.5,Louvain,0.528059720993042,0.4656365040880684,0.512467075962451,0.6889235441375631
2,1000,0.5,Louvain,0.7287089824676514,0.461548407757732,0.5053810126433718,0.8472944611734647
3,1000,0.5,Louvain,0.5985260009765625,0.461773311663986,0.503761305066643,0.8588450532438898
4,1000,0.5,Louvain,0.5479428768157959,0.4642019356899919,0.5026059651604008,0.9464086341644957
5,1000,0.5,Louvain,0.5919275283813477,0.46677237163345686,0.5025157390448769,0.9130781499202552
6,1000,0.5,Louvain,0.764378547668457,0.4632606925416978,0.5057576833037412,0.8727306932555733
7,1000,0.5,Louvain,0.6264517307281494,0.46253729572076613,0.5091872665105649,0.7510393739300563
8,1000,0.5,Louvain,0.5425703525543213,0.46290119415489056,0.5051089291726294,0.8027527035481277
9,1000,0.5,Louvain,0.5556631088256836,0.46185338591304576,0.5005053265357231,0.9609612761045231
0,1000,0.6,Louvain,0.6247029304504395,0.3649058334159753,0.41445252897056206,0.5794452160204197
1,1000,0.6,Louvain,0.6364986896514893,0.3638845242730595,0.41407350302754453,0.5389245014245014
2,1000,0.6,Louvain,0.7889130115509033,0.3561249661360359,0.40428982514450473,0.5752871562826314
3,1000,0.6,Louvain,0.6468446254730225,0.35299708597445384,0.40820511082933675,0.5589407001044933
4,1000,0.6,Louvain,0.7135524749755859,0.36346342084897276,0.40448347199854073,0.7505728164237925
5,1000,0.6,Louvain,0.8303308486938477,0.35705195502805737,0.41345077661470686,0.4447177359608831
6,1000,0.6,Louvain,0.6455433368682861,0.350871508651749,0.4079621525938132,0.45977395637114904
7,1000,0.6,Louvain,0.7582769393920898,0.36386794785538895,0.4100418390577514,0.6956623498205649
8,1000,0.6,Louvain,0.6880576610565186,0.357788916881581,0.40581104398295764,0.6187928828933597
9,1000,0.6,Louvain,0.6339418888092041,0.36351892800235164,0.4168099926956721,0.6057342753275259
