i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_conductance,False,False,False,136.73944234848022,0.5611161065866879,0.5997830772119036,0.8959712001694108
1,1000,0.4,GN_conductance,False,False,False,114.88920426368713,0.5618376345627412,0.6012915424891292,0.9234265179939756
2,1000,0.4,GN_conductance,False,False,False,107.5071485042572,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,GN_conductance,False,False,False,114.08248567581177,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,GN_conductance,False,False,False,142.7886106967926,0.5617272853841889,0.5997668532521596,0.9557444953128407
5,1000,0.4,GN_conductance,False,False,False,127.26891374588013,0.5591911855451399,0.6028796180824783,0.854876860999026
6,1000,0.4,GN_conductance,False,False,False,134.34987807273865,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,GN_conductance,False,False,False,124.68151044845581,0.5636245591007162,0.6017913688530225,0.8793518369966309
8,1000,0.4,GN_conductance,False,False,False,128.06380367279053,0.5605025379766929,0.6018109029441521,0.973741567202906
9,1000,0.4,GN_conductance,False,False,False,122.287757396698,0.5616818034432904,0.6000673993702272,0.9404826317498106
0,10000,0.4,GN_conductance,False,False,False,1110.042593717575,0.6021939240281591,0.6130353611033955,0.285952527305446
1,10000,0.4,GN_conductance,False,False,False,1127.4317684173584,0.6013232553301708,0.6117365669189179,0.29431443360811516
2,10000,0.4,GN_conductance,False,False,False,1126.64111495018,0.6016945520032673,0.6129704091204087,0.27915907619829305
3,10000,0.4,GN_conductance,False,False,False,1100.0751781463623,0.6021387112421389,0.612419548519338,0.3050308145170614
4,10000,0.4,GN_conductance,False,False,False,1106.5306720733643,0.6012447022936036,0.6120391690684582,0.28907376765569387
5,10000,0.4,GN_conductance,False,False,False,1123.2472534179688,0.6013897975338995,0.6119702841936869,0.28000455495904664
6,10000,0.4,GN_conductance,False,False,False,1145.5402493476868,0.6014763498935349,0.6117719936994566,0.30668994969418406
7,10000,0.4,GN_conductance,False,False,False,1076.9709441661835,0.6017730621084583,0.612514134527521,0.28743165422756284
8,10000,0.4,GN_conductance,False,False,False,1094.1020481586456,0.6014710930256038,0.6117524582137801,0.2936890618205442
9,10000,0.4,GN_conductance,False,False,False,1091.46408867836,0.601845723033349,0.6124787149852009,0.29469471177281653
0,1000,0.5,GN_conductance,False,False,False,108.71535921096802,0.461577638334974,0.502419472698773,0.9195483061480552
1,1000,0.5,GN_conductance,False,False,False,83.08776998519897,0.46609461923990386,0.5125385655498279,0.6837881873727087
2,1000,0.5,GN_conductance,False,False,False,128.08327841758728,0.45969049444150395,0.5071011051173437,0.7549229711697869
3,1000,0.5,GN_conductance,False,False,False,96.49731397628784,0.46252123703315123,0.502435058190183,0.9324049603577963
4,1000,0.5,GN_conductance,False,False,False,105.41554188728333,0.4642019356899919,0.5026059651604008,0.9464086341644957
5,1000,0.5,GN_conductance,False,False,False,82.4164354801178,0.46638507319178363,0.5042084297913199,0.8378632657328037
6,1000,0.5,GN_conductance,False,False,False,101.25177693367004,0.46300295344351977,0.50443378890641,0.8945668418261582
7,1000,0.5,GN_conductance,False,False,False,137.84885358810425,0.46309270873577596,0.5076800443866902,0.7926524993547277
8,1000,0.5,GN_conductance,False,False,False,161.00647354125977,0.46195389872277165,0.5045181964929671,0.7915083502695061
9,1000,0.5,GN_conductance,False,False,False,95.49352192878723,0.4613599281887279,0.5015950035979313,0.91556266560016
0,10000,0.5,GN_conductance,False,False,False,880.353095293045,0.5038942498304667,0.5168115985675366,0.2470263277204878
1,10000,0.5,GN_conductance,False,False,False,914.408097743988,0.503467738609617,0.5167293958884023,0.24252787874448428
2,10000,0.5,GN_conductance,False,False,False,776.6924297809601,0.5036589123853278,0.5165149671961802,0.23544163377877372
3,10000,0.5,GN_conductance,False,False,False,491.7283527851105,0.5036969655790798,0.5175632238992075,0.23273379001195288
4,10000,0.5,GN_conductance,False,False,False,443.65965962409973,0.503425040647984,0.516399064078509,0.24660144506843096
