i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_conductance,True,False,False,150.60973858833313,0.5616498084584647,0.5996775422381853,0.9354927864684097
1,1000,0.4,GN_conductance,True,False,False,137.76171016693115,0.5628005182067192,0.6017978997093869,0.941740770681757
2,1000,0.4,GN_conductance,True,False,False,123.22190976142883,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,GN_conductance,True,False,False,126.78265047073364,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,GN_conductance,True,False,False,122.23411893844604,0.5617272853841889,0.5997668532521596,0.9557444953128407
5,1000,0.4,GN_conductance,True,False,False,149.11290311813354,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,GN_conductance,True,False,False,126.3202555179596,0.563473313272357,0.604881064262131,0.8619578686493184
7,1000,0.4,GN_conductance,True,False,False,111.22898006439209,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,GN_conductance,True,False,False,155.09363341331482,0.5605657083519446,0.6011372948994592,1.0
9,1000,0.4,GN_conductance,True,False,False,125.91646814346313,0.5618115651447915,0.6010591434060605,0.9363283775048481
0,10000,0.4,GN_conductance,True,False,False,1111.2839305400848,0.6023434474297392,0.6128952551196912,0.2916304328845583
1,10000,0.4,GN_conductance,True,False,False,1103.0659408569336,0.6012336593303818,0.611356311238046,0.30736475493186904
2,10000,0.4,GN_conductance,True,False,False,1104.9471650123596,0.6017801111290408,0.6125747914417425,0.2901008447940197
3,10000,0.4,GN_conductance,True,False,False,1121.3150901794434,0.6018110917343544,0.6119976109322007,0.30626680905626413
4,10000,0.4,GN_conductance,True,False,False,1103.7206947803497,0.6013521359803939,0.6124282507321948,0.281132506076159
5,10000,0.4,GN_conductance,True,False,False,1135.3150799274445,0.6016345017921095,0.6120669280523674,0.2989209152837443
6,10000,0.4,GN_conductance,True,False,False,1141.289116859436,0.6014730192902225,0.6116714550095845,0.3017865060301033
7,10000,0.4,GN_conductance,True,False,False,1081.754592180252,0.6019962274578909,0.612466920956994,0.2931854815904078
8,10000,0.4,GN_conductance,True,False,False,1108.9486956596375,0.6015682970932164,0.6118736306827399,0.2934681697612732
9,10000,0.4,GN_conductance,True,False,False,1121.6137673854828,0.601880604735233,0.6127114048973525,0.2947185182606274
0,1000,0.5,GN_conductance,True,False,False,162.6555278301239,0.4620444636603974,0.5028653214428032,0.91050796812749
1,1000,0.5,GN_conductance,True,False,False,111.66780233383179,0.46611080051294634,0.5106808592543883,0.712067868504772
2,1000,0.5,GN_conductance,True,False,False,123.54614782333374,0.46166231816900033,0.505487761648862,0.8551275591993771
3,1000,0.5,GN_conductance,True,False,False,90.34480428695679,0.46216106642908045,0.5032762258643169,0.8761489850631942
4,1000,0.5,GN_conductance,True,False,False,102.21932697296143,0.4642019356899919,0.5026059651604008,0.9464086341644957
5,1000,0.5,GN_conductance,True,False,False,83.03878545761108,0.4665119612943218,0.5039713609587968,0.8517534537725824
6,1000,0.5,GN_conductance,True,False,False,96.2333767414093,0.46361800621450194,0.5045797117732849,0.9177960233455337
7,1000,0.5,GN_conductance,True,False,False,129.19152283668518,0.46290678061988516,0.5090239684797033,0.7626338063231267
8,1000,0.5,GN_conductance,True,False,False,93.56507277488708,0.46290119415489056,0.5051089291726294,0.8027527035481277
