i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_conductance,True,True,False,141.59893560409546,0.3948511846336482,0.054834148206528655,0.615752777121248
1,1000,0.4,GN_conductance,True,True,False,140.67176580429077,0.5609708133746596,0.5826605255359893,0.9387227162489895
2,1000,0.4,GN_conductance,True,True,False,148.91141390800476,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,GN_conductance,True,True,False,126.24703121185303,0.349258708277316,0.04295818131142215,0.5264547090581884
4,1000,0.4,GN_conductance,True,True,False,111.35905528068542,0.5236118545251468,0.2291469813880478,0.916286496350365
5,1000,0.4,GN_conductance,True,True,False,141.3098132610321,0.5464367844152003,0.3446068859974588,0.9772677951388888
6,1000,0.4,GN_conductance,True,True,False,127.36828589439392,0.5404929932035608,0.31025633052178736,0.8812612042602552
7,1000,0.4,GN_conductance,True,True,False,105.59012508392334,0.5280927834356398,0.24681637740935936,0.9058551992225462
8,1000,0.4,GN_conductance,True,True,False,124.00826096534729,0.5342112025162841,0.26819701121005857,0.9221914303986357
9,1000,0.4,GN_conductance,True,True,False,121.74266195297241,0.5405224459234867,0.2939075260693622,0.9250168123739072
0,10000,0.4,GN_conductance,True,True,False,1128.0209324359894,0.5988048759901533,0.4389819182219322,0.31462743236829616
1,10000,0.4,GN_conductance,True,True,False,1111.897525548935,0.599676895546959,0.5302339178211215,0.3180494205611705
2,10000,0.4,GN_conductance,True,True,False,1116.4589188098907,0.5995664413915853,0.49412105680883733,0.3037787143977959
3,10000,0.4,GN_conductance,True,True,False,1093.0349855422974,0.6016618596762955,0.593416310018483,0.3134828686643319
4,10000,0.4,GN_conductance,True,True,False,1126.58811044693,0.6001038159097426,0.5256452225924291,0.30554477213936126
5,10000,0.4,GN_conductance,True,True,False,1150.2466020584106,0.601833066223619,0.6122438899788205,0.2994148083832758
6,10000,0.4,GN_conductance,True,True,False,1138.9068739414215,0.5995094947251625,0.49705895978401005,0.3188356791902874
7,10000,0.4,GN_conductance,True,True,False,1104.5285363197327,0.5972322326764914,0.39593808217327275,0.30158116313637373
8,10000,0.4,GN_conductance,True,True,False,1109.6829540729523,0.5964982861861877,0.40433377734022524,0.3119793022955193
9,10000,0.4,GN_conductance,True,True,False,1121.5925266742706,0.6019271450369716,0.6124726486264511,0.29992966965998735
0,1000,0.5,GN_conductance,True,True,False,106.892573595047,0.4620521610378648,0.5028877498541485,0.9144996256551036
1,1000,0.5,GN_conductance,True,True,False,78.26254224777222,0.46611080051294634,0.5106808592543883,0.712067868504772
2,1000,0.5,GN_conductance,True,True,False,108.6687970161438,0.46166231816900033,0.505487761648862,0.8551275591993771
3,1000,0.5,GN_conductance,True,True,False,87.70749545097351,0.46084621823541017,0.48638836220906057,0.9166119500984898
4,1000,0.5,GN_conductance,True,True,False,110.31546688079834,0.4540375012781295,0.3312852541179109,0.9321069700675209
5,1000,0.5,GN_conductance,True,True,False,95.95336937904358,0.46546001480646537,0.47383037986849785,0.9086921850079744
6,1000,0.5,GN_conductance,True,True,False,100.49961447715759,0.37489487284103723,0.09269426220721877,0.730168139685277
7,1000,0.5,GN_conductance,True,True,False,101.8377583026886,0.44678156216412124,0.24582821753338413,0.7880829934385529
8,1000,0.5,GN_conductance,True,True,False,122.64289355278015,0.4515340038978573,0.3430804899648714,0.7292710986934012
9,1000,0.5,GN_conductance,True,True,False,195.81677913665771,0.4541088766760673,0.3808542745088036,0.8729044834307992
0,10000,0.5,GN_conductance,True,True,False,874.2906241416931,0.5027350505395833,0.4397790542635618,0.24971268821480685
1,10000,0.5,GN_conductance,True,True,False,935.4363470077515,0.5025891648286832,0.4524669088925224,0.2510053936584094
2,10000,0.5,GN_conductance,True,True,False,866.2860651016235,0.5020740132855729,0.41280729393862337,0.24800935701386653
3,10000,0.5,GN_conductance,True,True,False,662.0249841213226,0.5030635559375933,0.47059857876398536,0.26347635101880107
4,10000,0.5,GN_conductance,True,True,False,449.3709683418274,0.5027697970445172,0.4628724197199564,0.26785002150369475
5,10000,0.5,GN_conductance,True,True,False,456.5094795227051,0.5043101833690022,0.5175996996375631,0.2357522626226721
