# CSV-File created with merge-csv.com
# -----------------------------------------------------------

i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_modularity,False,False,False,112.55204939842224,0.5619952270317068,0.5992195105568252,0.9746040886841347
1,1000,0.4,GN_modularity,False,False,False,105.09891676902771,0.5621868771257649,0.6023211132806663,0.9063278008298755
2,1000,0.4,GN_modularity,False,False,False,102.32456398010254,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,GN_modularity,False,False,False,104.06113338470459,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,GN_modularity,False,False,False,134.1135106086731,0.5621092222102126,0.5988024312174332,1.0
5,1000,0.4,GN_modularity,False,False,False,121.03788638114929,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,GN_modularity,False,False,False,115.88985705375671,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,GN_modularity,False,False,False,96.48822617530823,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,GN_modularity,False,False,False,100.9266951084137,0.560224352539276,0.601485324179205,0.9678151433876625
9,1000,0.4,GN_modularity,False,False,False,97.19201374053955,0.5620488768031379,0.5999479369250511,0.9741089441829186
0,10000,0.4,GN_modularity,False,False,False,868.9558184146881,0.6022915172830235,0.6133798966274664,0.2803784760229127
1,10000,0.4,GN_modularity,False,False,False,880.7243194580078,0.601284298897371,0.6121100798338373,0.2888485783422013
2,10000,0.4,GN_modularity,False,False,False,871.958743095398,0.6014967699019421,0.6120866413330637,0.2881385695766025
3,10000,0.4,GN_modularity,False,False,False,918.1109988689423,0.6017964825295052,0.612902194052088,0.2883455593684271
4,10000,0.4,GN_modularity,False,False,False,751.6080975532532,0.601290648961299,0.6123002084278688,0.2850934868516684
5,10000,0.4,GN_modularity,False,False,False,711.4984102249146,0.601639130040895,0.6132351025152109,0.26865548746694534
6,10000,0.4,GN_modularity,False,False,False,727.5769147872925,0.6012548518193678,0.611737151371301,0.2904643699599539
7,10000,0.4,GN_modularity,False,False,False,685.1003677845001,0.6018132283359285,0.6127661841682447,0.2752315037541598
8,10000,0.4,GN_modularity,False,False,False,702.9578440189362,0.6012163717201745,0.6120693060947877,0.29004609821403926
9,10000,0.4,GN_modularity,False,False,False,698.33575963974,0.6014528215079908,0.6121644417474854,0.28789600263973414
0,1000,0.5,GN_modularity,False,False,False,62.86170744895935,0.4620521610378648,0.5028877498541485,0.9144996256551036
1,1000,0.5,GN_modularity,False,False,False,55.14255928993225,0.46611080051294634,0.5106808592543883,0.712067868504772
2,1000,0.5,GN_modularity,False,False,False,73.8409583568573,0.4613427162870271,0.5050405764820227,0.8565005963849894
3,1000,0.5,GN_modularity,False,False,False,58.41140007972717,0.4623500757374879,0.5039500173947877,0.8721239779425747
4,1000,0.5,GN_modularity,False,False,False,61.751967906951904,0.4642019356899919,0.5026059651604008,0.9464086341644957
5,1000,0.5,GN_modularity,False,False,False,52.63461923599243,0.46677237163345686,0.5025157390448769,0.9130781499202552
