i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_modularity,False,True,False,111.13125491142273,0.4443514140426842,0.073445487738107,0.6078350271803357
1,1000,0.4,GN_modularity,False,True,False,106.3487377166748,0.5425772747411565,0.3315709222129819,0.8732417138237671
2,1000,0.4,GN_modularity,False,True,False,99.72324895858765,0.40772167796315245,0.06935711216312712,0.5165895953757226
3,1000,0.4,GN_modularity,False,True,False,100.87863397598267,0.5001758142251684,0.173751424272925,0.7660467906418716
4,1000,0.4,GN_modularity,False,True,False,124.22149348258972,0.3885246969154021,0.05910768395362043,0.508040602189781
5,1000,0.4,GN_modularity,False,True,False,116.99788022041321,0.4526899687286199,0.07649057899000122,0.6242947048611112
6,1000,0.4,GN_modularity,False,True,False,116.01469898223877,0.5213634146737284,0.2155684489286771,0.72936332596907
7,1000,0.4,GN_modularity,False,True,False,93.42326879501343,0.46975508794520116,0.13263853659483416,0.6565569533000173
8,1000,0.4,GN_modularity,False,True,False,100.16154766082764,0.4887069298987295,0.18362673764667037,0.7004903005755703
9,1000,0.4,GN_modularity,False,True,False,91.98501753807068,0.43850610353053826,0.07189384609352412,0.5896329536301922
0,10000,0.4,GN_modularity,False,True,False,880.1886248588562,0.59737506642327,0.4246318574127317,0.32499905907615145
1,10000,0.4,GN_modularity,False,True,False,868.592139005661,0.6007764899915187,0.5621141970285466,0.30289530696279715
2,10000,0.4,GN_modularity,False,True,False,855.0345606803894,0.5946387626327353,0.3834538413907256,0.31590698719214877
3,10000,0.4,GN_modularity,False,True,False,901.9197022914886,0.5998584399939492,0.49596755327500563,0.3159164928017122
4,10000,0.4,GN_modularity,False,True,False,743.0647165775299,0.5990624738272369,0.4776906497556854,0.30445876101040986
5,10000,0.4,GN_modularity,False,True,False,710.9812569618225,0.6006907852081834,0.5454012369965197,0.2866802948436294
6,10000,0.4,GN_modularity,False,True,False,731.6310267448425,0.5984666385182136,0.48450785828701837,0.3257930433531015
7,10000,0.4,GN_modularity,False,True,False,686.8637926578522,0.6002594810666465,0.5041138263225933,0.3164820901941509
8,10000,0.4,GN_modularity,False,True,False,705.4219989776611,0.5989576530637913,0.49668383380323344,0.314211190385932
9,10000,0.4,GN_modularity,False,True,False,703.5360567569733,0.594749689549169,0.3942739723160409,0.3207529276973426
0,1000,0.5,GN_modularity,False,True,False,63.04879832267761,0.4415239340072902,0.2693770073715993,0.8354379835288246
1,1000,0.5,GN_modularity,False,True,False,54.463412046432495,0.44166590217008,0.22189900460614798,0.6444114528101803
2,1000,0.5,GN_modularity,False,True,False,73.15993785858154,0.45568550497667065,0.39223446542287543,0.8975667189952904
3,1000,0.5,GN_modularity,False,True,False,56.73891615867615,0.4198506323891059,0.20029975379336518,0.7647895913803618
4,1000,0.5,GN_modularity,False,True,False,62.021292209625244,0.4410333814262046,0.2958593321969344,0.7702750263965006
5,1000,0.5,GN_modularity,False,True,False,52.28618669509888,0.4318218109124952,0.21965404393406018,0.7799612668033721
6,1000,0.5,GN_modularity,False,True,False,61.1933319568634,0.43906120162955165,0.2340957191751336,0.8366801859728954
7,1000,0.5,GN_modularity,False,True,False,76.399498462677,0.4327781739553706,0.2099294027528632,0.7069125199966322
8,1000,0.5,GN_modularity,False,True,False,87.21051216125488,0.4292784893923056,0.21431448286982202,0.6967492611957263
9,1000,0.5,GN_modularity,False,True,False,56.664246559143066,0.4146963797523903,0.19711633918709603,0.757162346521146
0,10000,0.5,GN_modularity,False,True,False,552.3333911895752,0.5011704491951321,0.37945860380121565,0.2650084475314436
1,10000,0.5,GN_modularity,False,True,False,567.9020745754242,0.5002417001749824,0.37399763692015975,0.2504162294303519
2,10000,0.5,GN_modularity,False,True,False,551.6517851352692,0.5023898049890426,0.4271403965278534,0.25290626033119945
3,10000,0.5,GN_modularity,False,True,False,574.6790592670441,0.5029886731932063,0.45987907170472664,0.25201483567936644
4,10000,0.5,GN_modularity,False,True,False,561.1469955444336,0.5035651530378299,0.5168066624925393,0.23897863049710863
5,10000,0.5,GN_modularity,False,True,False,551.9289119243622,0.5026000572644984,0.42285101903254263,0.24077458881672165
6,10000,0.5,GN_modularity,False,True,False,570.2128162384033,0.50380043684971,0.5160930851784895,0.25528578510589545
7,10000,0.5,GN_modularity,False,True,False,561.7699382305145,0.5007580959764797,0.35843337765020744,0.25026764863322726
8,10000,0.5,GN_modularity,False,True,False,540.5425169467926,0.5001861645267466,0.361047913160894,0.24613521525449958
9,10000,0.5,GN_modularity,False,True,False,532.3882522583008,0.4993418767776074,0.33408348013310507,0.2591902662170766
0,1000,0.6,GN_modularity,False,True,False,73.94221687316895,0.35984889349490734,0.2994381178496006,0.5343100559654939
1,1000,0.6,GN_modularity,False,True,False,59.693973779678345,0.3376441056858433,0.16666045876860558,0.5552535462498939
2,1000,0.6,GN_modularity,False,True,False,52.45987248420715,0.3552660013112912,0.2983204839625776,0.6606964024343271
3,1000,0.6,GN_modularity,False,True,False,59.68799591064453,0.3309081243769352,0.1784470385029081,0.609458398744113
4,1000,0.6,GN_modularity,False,True,False,40.983728885650635,0.3540389367053374,0.2420691750958015,0.6919938149643502
5,1000,0.6,GN_modularity,False,True,False,54.792874574661255,0.3332864115325273,0.15226517994132693,0.5155229998481858
6,1000,0.6,GN_modularity,False,True,False,49.94556427001953,0.3359538948160864,0.2144145639264209,0.5530355097365407
7,1000,0.6,GN_modularity,False,True,False,75.06012797355652,0.3336612087172753,0.16440033752859762,0.5660684522655917
