i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_modularity,True,False,False,113.52235960960388,0.5619952270317068,0.5992195105568252,0.9746040886841347
1,1000,0.4,GN_modularity,True,False,False,110.6318666934967,0.5621868771257649,0.6023211132806663,0.9063278008298755
2,1000,0.4,GN_modularity,True,False,False,103.3951849937439,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,GN_modularity,True,False,False,106.65905451774597,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,GN_modularity,True,False,False,101.3991322517395,0.5620465309226799,0.5996245909329345,0.9525258011950027
5,1000,0.4,GN_modularity,True,False,False,105.77524423599243,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,GN_modularity,True,False,False,106.4804790019989,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,GN_modularity,True,False,False,90.12445330619812,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,GN_modularity,True,False,False,90.12396907806396,0.5605657083519446,0.6011372948994592,1.0
9,1000,0.4,GN_modularity,True,False,False,96.24990057945251,0.5620113455336067,0.6009880246098501,0.9390092377505267
0,10000,0.4,GN_modularity,True,False,False,864.5439867973328,0.6022877489736004,0.6130388350866385,0.28313831067770234
1,10000,0.4,GN_modularity,True,False,False,874.0417807102203,0.6013581572004184,0.6118007317096106,0.29534354994338
2,10000,0.4,GN_modularity,True,False,False,838.8558926582336,0.6018708461509076,0.6123935148279103,0.2894746855585228
3,10000,0.4,GN_modularity,True,False,False,922.6296145915985,0.601848517615928,0.6121518889889082,0.3037127551246292
4,10000,0.4,GN_modularity,True,False,False,762.4679672718048,0.6013386142755629,0.6123721231351489,0.28059729782755444
5,10000,0.4,GN_modularity,True,False,False,715.572877407074,0.6015192903189629,0.6122124504731234,0.2900541765893538
6,10000,0.4,GN_modularity,True,False,False,731.3256478309631,0.6014255611295056,0.611945508519397,0.3038544077651104
7,10000,0.4,GN_modularity,True,False,False,708.3928925991058,0.6020553005862074,0.6128647912317072,0.2882671721638325
8,10000,0.4,GN_modularity,True,False,False,703.2065622806549,0.6014339545631209,0.6122027301983293,0.27952787316868843
9,10000,0.4,GN_modularity,True,False,False,714.8606748580933,0.6016141223304058,0.6119869230109944,0.29749794848996564
0,1000,0.5,GN_modularity,True,False,False,76.4002640247345,0.46200784957248875,0.5041793407221202,0.8777005988023953
1,1000,0.5,GN_modularity,True,False,False,51.1274676322937,0.46611080051294634,0.5106808592543883,0.712067868504772
2,1000,0.5,GN_modularity,True,False,False,66.61012101173401,0.46138579486711023,0.5066276465614535,0.8109084577547556
3,1000,0.5,GN_modularity,True,False,False,56.36985802650452,0.4622036991019201,0.5022472824898658,0.9193954659949622
4,1000,0.5,GN_modularity,True,False,False,56.73903751373291,0.4642019356899919,0.5026059651604008,0.9464086341644957
