i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_modularity,True,True,False,106.19487285614014,0.5446228517484647,0.33409160468350674,0.9126979556579327
1,1000,0.4,GN_modularity,True,True,False,107.6497073173523,0.5432856005784351,0.35214575272845794,0.8666666666666667
2,1000,0.4,GN_modularity,True,True,False,100.48967838287354,0.40772167796315245,0.06935711216312712,0.5165895953757226
3,1000,0.4,GN_modularity,True,True,False,103.34615278244019,0.45297313293433067,0.08170127553235706,0.6256748650269947
4,1000,0.4,GN_modularity,True,True,False,103.83832454681396,0.36859492625944096,0.053643966861488646,0.43886861313868614
5,1000,0.4,GN_modularity,True,True,False,116.94934320449829,0.5331532392154988,0.3055863073505425,0.8987087673611112
6,1000,0.4,GN_modularity,True,True,False,107.05769443511963,0.5325974299885756,0.2527084848898157,0.8493280017771854
7,1000,0.4,GN_modularity,True,True,False,90.96639442443848,0.48874086399773087,0.1483174041335411,0.7011890401516457
8,1000,0.4,GN_modularity,True,True,False,98.52250218391418,0.4186211033428688,0.0724488262502333,0.5168407589000213
9,1000,0.4,GN_modularity,True,True,False,90.70359063148499,0.5251494201920109,0.2648427565970176,0.8492490472988119
0,10000,0.4,GN_modularity,True,True,False,861.1994094848633,0.5994526328827399,0.47621064881871544,0.31158486742231617
1,10000,0.4,GN_modularity,True,True,False,854.8004655838013,0.6004440622344049,0.5584562190501234,0.31418217437536194
2,10000,0.4,GN_modularity,True,True,False,850.5084283351898,0.5976653141640554,0.44320596192717365,0.3261229141357983
3,10000,0.4,GN_modularity,True,True,False,885.7949278354645,0.600628856607464,0.5320313215201888,0.3242989267520649
4,10000,0.4,GN_modularity,True,True,False,752.4861333370209,0.6003226967345133,0.5379454503913554,0.30097054316363014
5,10000,0.4,GN_modularity,True,True,False,715.1092472076416,0.5995877164587843,0.512779029059519,0.30859810517643826
6,10000,0.4,GN_modularity,True,True,False,732.1155507564545,0.5978726381088592,0.47363068898518124,0.32940993354388604
7,10000,0.4,GN_modularity,True,True,False,688.1203286647797,0.5982000152101815,0.4583416604984131,0.318726459533316
8,10000,0.4,GN_modularity,True,True,False,705.1497800350189,0.5998455347850414,0.5277234290808233,0.31861966378381473
9,10000,0.4,GN_modularity,True,True,False,713.2548243999481,0.6015478018048183,0.588101302280735,0.2977576389671891
0,1000,0.5,GN_modularity,True,True,False,55.3427939414978,0.43879237013265643,0.27322684624723226,0.859288414728883
1,1000,0.5,GN_modularity,True,True,False,89.41197943687439,0.4644002479711529,0.5121900429226406,0.6510879261528915
2,1000,0.5,GN_modularity,True,True,False,63.31750988960266,0.32305947314986266,0.06870952739560587,0.45026345201979884
3,1000,0.5,GN_modularity,True,True,False,63.80760335922241,0.4412862963416771,0.255496284150751,0.7950984139117141
4,1000,0.5,GN_modularity,True,True,False,61.79960775375366,0.4359457461330136,0.23056615843357497,0.8318358232760912
5,1000,0.5,GN_modularity,True,True,False,49.057151317596436,0.42875811677248016,0.21568802438311163,0.7619617224880383
6,1000,0.5,GN_modularity,True,True,False,65.35836625099182,0.32997179110040753,0.08998450377948553,0.46906660918301357
7,1000,0.5,GN_modularity,True,True,False,78.82004714012146,0.43668702486159044,0.22336616372356133,0.7786791915741531
