i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,Louvain,True,False,False,4.500323534011841,0.5619952270317068,0.5992195105568252,0.9746040886841347
1,1000,0.4,Louvain,True,False,False,3.788942575454712,0.5628005182067192,0.6017978997093869,0.941740770681757
2,1000,0.4,Louvain,True,False,False,4.230351209640503,0.5636947347478328,0.6017830219528861,0.9279124651362368
3,1000,0.4,Louvain,True,False,False,4.298949956893921,0.5642920849167773,0.5991741569170379,1.0
4,1000,0.4,Louvain,True,False,False,5.0442070960998535,0.5621092222102126,0.5988024312174332,1.0
5,1000,0.4,Louvain,True,False,False,4.452112674713135,0.5612755675849941,0.600472937419764,0.9744647105471848
6,1000,0.4,Louvain,True,False,False,4.349932432174683,0.5641436563870077,0.6034993823455272,0.9169039333544237
7,1000,0.4,Louvain,True,False,False,4.88512396812439,0.5654622111999695,0.6011835120073565,0.9445114595898673
8,1000,0.4,Louvain,True,False,False,4.413147687911987,0.5605657083519446,0.6011372948994592,1.0
9,1000,0.4,Louvain,True,False,False,4.755706787109375,0.5620488768031379,0.5999479369250511,0.9741089441829186
0,10000,0.4,Louvain,True,False,False,59.58597445487976,0.602652295179956,0.6130092637078539,0.298305811326147
1,10000,0.4,Louvain,True,False,False,54.298059701919556,0.6017295860450501,0.6119575323814445,0.2994169694439629
2,10000,0.4,Louvain,True,False,False,53.16074895858765,0.6019404042099229,0.61260594284599,0.29227016020592417
3,10000,0.4,Louvain,True,False,False,57.79673385620117,0.6022131399459634,0.6126173901201932,0.29826120529534117
4,10000,0.4,Louvain,True,False,False,48.236287355422974,0.6016358043160823,0.6121233613117247,0.30304167557016826
5,10000,0.4,Louvain,True,False,False,46.563894748687744,0.6020327144017863,0.6121037832358036,0.3077330479653931
6,10000,0.4,Louvain,True,False,False,47.25699710845947,0.6016864463931296,0.611693401782013,0.31735002069067536
7,10000,0.4,Louvain,True,False,False,45.75588059425354,0.6023273892632549,0.612988749650061,0.29541885236268844
8,10000,0.4,Louvain,True,False,False,42.01741075515747,0.6019675553417037,0.6121016067586487,0.30231542236683623
9,10000,0.4,Louvain,True,False,False,43.88849234580994,0.6021141849174472,0.613147419924761,0.28824570961590845
0,1000,0.5,Louvain,True,False,False,3.720186710357666,0.4620521610378648,0.5028877498541485,0.9144996256551036
1,1000,0.5,Louvain,True,False,False,3.4380605220794678,0.4659810760697416,0.5105592012869676,0.7087214225232854
2,1000,0.5,Louvain,True,False,False,3.311232805252075,0.46166231816900033,0.505487761648862,0.8551275591993771
3,1000,0.5,Louvain,True,False,False,3.27787709236145,0.45981510376039675,0.5003321215222892,0.9081483718355227
4,1000,0.5,Louvain,True,False,False,3.379317283630371,0.4642019356899919,0.5026059651604008,0.9464086341644957
5,1000,0.5,Louvain,True,False,False,3.583899974822998,0.46677237163345686,0.5025157390448769,0.9130781499202552
6,1000,0.5,Louvain,True,False,False,4.107304334640503,0.46361800621450194,0.5045797117732849,0.9177960233455337
7,1000,0.5,Louvain,True,False,False,3.1951873302459717,0.46293324747198145,0.5073502818145021,0.789272688264321
8,1000,0.5,Louvain,True,False,False,3.341149091720581,0.46290119415489056,0.5051089291726294,0.8027527035481277
9,1000,0.5,Louvain,True,False,False,3.19250750541687,0.46185338591304576,0.5005053265357231,0.9609612761045231
0,10000,0.5,Louvain,True,False,False,45.4879195690155,0.5041442365369719,0.5171570891446147,0.24646122109120874
1,10000,0.5,Louvain,True,False,False,45.08124041557312,0.5036344374906173,0.5159826673116639,0.2570766372724729
2,10000,0.5,Louvain,True,False,False,45.9146831035614,0.5041288870872547,0.5164518070282457,0.2594496874616987
3,10000,0.5,Louvain,True,False,False,48.650158643722534,0.5039832272300325,0.5164345327670014,0.25498918384490155
4,10000,0.5,Louvain,True,False,False,46.536609411239624,0.5038580142902659,0.5161103750291026,0.2536511830690333
5,10000,0.5,Louvain,True,False,False,49.812002420425415,0.5044280506985495,0.51751293319098,0.2394501600877684
6,10000,0.5,Louvain,True,False,False,47.273414611816406,0.5040711468222699,0.5165524416985646,0.256376279053677
7,10000,0.5,Louvain,True,False,False,44.97636699676514,0.5045904430526328,0.5177291891650488,0.24709101687682752
8,10000,0.5,Louvain,True,False,False,50.146291971206665,0.5045791110533673,0.5171762540120289,0.24067933683784876
9,10000,0.5,Louvain,True,False,False,52.049463987350464,0.5041272757686103,0.5168243235680459,0.24710748535932986
0,1000,0.6,Louvain,True,False,False,3.7145276069641113,0.3653224493460303,0.41870552944828443,0.5346606148132865
1,1000,0.6,Louvain,True,False,False,4.040375709533691,0.3654566851339901,0.41744103742921923,0.5544339520243134
2,1000,0.6,Louvain,True,False,False,4.303001880645752,0.3536655671754403,0.4036639525450233,0.5919766225332804
3,1000,0.6,Louvain,True,False,False,4.045288801193237,0.36006660983662947,0.40841361751777094,0.6460302974995437
4,1000,0.6,Louvain,True,False,False,4.616317987442017,0.3632652172009501,0.41027803005602503,0.6271759597279329
5,1000,0.6,Louvain,True,False,False,3.3801283836364746,0.3565838822501637,0.4061940533035533,0.5096462455472084
6,1000,0.6,Louvain,True,False,False,3.8811941146850586,0.3526416952703075,0.40575505983042714,0.4629583202757756
7,1000,0.6,Louvain,True,False,False,3.980393886566162,0.36014086832656017,0.4115963872926447,0.5857834659287444
8,1000,0.6,Louvain,True,False,False,4.640154123306274,0.36010164328697153,0.41258691870227504,0.5752347826086956
9,1000,0.6,Louvain,True,False,False,4.031500816345215,0.3582626820180743,0.4169100420176527,0.5276348808030112
