i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,None,FALSE,FALSE,FALSE,1.311003447,0.561995227,0.599219511,0.974604089
1,1000,0.4,None,FALSE,FALSE,FALSE,1.342648506,0.562800518,0.6017979,0.941740771
2,1000,0.4,None,FALSE,FALSE,FALSE,1.103948116,0.563694735,0.601783022,0.927912465
3,1000,0.4,None,FALSE,FALSE,FALSE,1.342428923,0.564292085,0.599174157,1
4,1000,0.4,None,FALSE,FALSE,FALSE,1.177253246,0.560240161,0.599949286,0.903172641
5,1000,0.4,None,FALSE,FALSE,FALSE,1.458284378,0.561275568,0.600472937,0.974464711
6,1000,0.4,None,FALSE,FALSE,FALSE,1.462973833,0.563035024,0.60410985,0.850949305
7,1000,0.4,None,FALSE,FALSE,FALSE,1.194966316,0.563205566,0.600602738,0.932195703
8,1000,0.4,None,FALSE,FALSE,FALSE,1.414751053,0.560565708,0.601137295,1
9,1000,0.4,None,FALSE,FALSE,FALSE,1.440320253,0.562048877,0.599947937,0.974108944
0,10000,0.4,None,FALSE,FALSE,FALSE,27.60801363,0.602607199,0.612458542,0.313749065
1,10000,0.4,None,FALSE,FALSE,FALSE,21.56913829,0.601743567,0.611573721,0.311785889
2,10000,0.4,None,FALSE,FALSE,FALSE,23.56719756,0.602038025,0.612298127,0.303687104
3,10000,0.4,None,FALSE,FALSE,FALSE,22.5460875,0.602133431,0.612360049,0.307600006
4,10000,0.4,None,FALSE,FALSE,FALSE,19.73386598,0.601564708,0.611774196,0.309395172
5,10000,0.4,None,FALSE,FALSE,FALSE,16.4840548,0.601993637,0.611948494,0.312330179
6,10000,0.4,None,FALSE,FALSE,FALSE,19.64666605,0.601805088,0.612211435,0.300938775
7,10000,0.4,None,FALSE,FALSE,FALSE,17.10730553,0.602383882,0.613091997,0.292925155
8,10000,0.4,None,FALSE,FALSE,FALSE,16.73549294,0.601895238,0.612266721,0.298787042
9,10000,0.4,None,FALSE,FALSE,FALSE,21.54329848,0.601968061,0.612404857,0.301797731
0,1000,0.5,None,FALSE,FALSE,FALSE,1.517311573,0.460794808,0.50453038,0.830139097
1,1000,0.5,None,FALSE,FALSE,FALSE,1.538892984,0.466110801,0.510680859,0.712067869
2,1000,0.5,None,FALSE,FALSE,FALSE,1.152154922,0.457154539,0.506599661,0.71627124
