method,size,random,modularity
GN_conductance,1000,False,0.4462686745833333
GN_conductance,1000,True,0.4510695473833334
GN_conductance,10000,False,0.5032872726500001
GN_conductance,10000,True,0.5032874526666666
GN_modularity,1000,False,0.4385001205333333
GN_modularity,1000,True,0.4458144549333333
GN_modularity,10000,False,0.5024919186166666
GN_modularity,10000,True,0.5032481681505376
Louvain,1000,False,0.43644445951666666
Louvain,1000,True,0.4443690970111111
Louvain,10000,False,0.5042019992166666
Louvain,10000,True,0.5041365889
None,1000,False,0.4603828936
None,1000,True,0.4610377428333334
None,10000,False,0.5041038646
None,10000,True,0.5040613392333333
